,Kit_microbiota_vs_germfree_log2FoldChange,Kit_microbiota_vs_germfree_pvalue,Kit_microbiota_vs_germfree_padj,MH63_microbiota_vs_germfree_log2FoldChange,MH63_microbiota_vs_germfree_pvalue,MH63_microbiota_vs_germfree_padj,RAPDB,Product
LOC107277368,-3.068288154,0.00455588,0.011171381,-2.0250017,0.004282952,0.015331328,Os02g0228000,receptor protein kinase CLAVATA1
LOC4341889,-1.829460866,0.004559582,0.011179335,-7.048057419,8.62E-05,0.000484762,Os06g0687200,uncharacterized LOC4341889
LOC9266481,-1.309198607,0.004568002,0.011198854,-1.345569135,0.033848895,0.086491492,Os06g0159725,histone H3.2
LOC4342393,-4.222109175,0.004576978,0.011216353,0,0,0,Os07g0146700,uncharacterized LOC4342393
LOC4342332,-4.549241464,0.004638452,0.0113556,0,0,0,0,L-type lectin-domain containing receptor kinase IV.1
LOC4349004,-1.282526495,0.004756619,0.011618087,0.384184407,0.759286576,0.855828565,Os10g0496900,protochlorophyllide reductase B%2C chloroplastic-like
LOC4344495,-1.547158413,0.004962871,0.012079553,-2.628737435,1.32E-05,8.85E-05,Os08g0112900,GDSL esterase/lipase At1g71691
LOC4332497,-1.830707772,0.00496748,0.012088361,0,0,0,Os03g0289300,phosphoinositide phospholipase C 4%2C transcript variant X3
LOC4352715,-1.012155434,0.005132139,0.01243945,0.629622053,0.698123401,0.813692127,Os12g0600100,tankyrase-2%2C transcript variant X1
LOC4349520,-1.17777882,0.005133224,0.012440842,-1.31323062,0.000502621,0.002368539,Os10g0580400,urea-proton symporter DUR3-like
LOC9269269,-2.435471707,0.005230819,0.012659775,-0.785879111,0.210900796,0.359690906,Os04g0269100,tropinone reductase homolog At2g29360%2C transcript variant X1
LOC4343604,-1.730946006,0.005253599,0.012709866,-0.709574026,0.476921306,0.637108178,Os07g0562700,chlorophyll a-b binding protein of LHCII type III%2C chloroplastic
LOC4329022,-2.364746574,0.005266677,0.012736456,0,0,0,Os02g0280700,protein SRG1%2C transcript variant X3
LOC4327691,-1.217477668,0.005291585,0.012791623,-1.051682137,0.129012619,0.248839319,Os01g0241400,monothiol glutaredoxin-S3-like
LOC112938214,-1.050444107,0.005402251,0.013037191,-0.282058167,0.62598862,0.760358664,0,uncharacterized LOC112938214
LOC107276028,-1.34422595,0.005420797,0.013076774,0,0,0,Os03g0788000,uncharacterized LOC107276028
LOC4339281,-1.81018225,0.00545451,0.013151602,-4.709497128,8.02E-21,2.64E-19,Os05g0510600,tyrosine decarboxylase-like
LOC107279141,-3.490448345,0.005508748,0.013264034,0,0,0,0,late embryogenesis abundant protein 47-like
LOC107276437,-1.335521803,0.005527555,0.013302757,0,0,0,Os03g0642600,wall-associated receptor kinase 2
LOC4324789,-2.35527438,0.005606271,0.013476251,0,0,0,Os01g0864200,uncharacterized LOC4324789
LOC4349922,-1.752457855,0.005634377,0.013535815,0,0,0,Os11g0176000,WD repeat-containing protein 20
LOC9271754,-3.362170069,0.005739302,0.01376891,-5.059113405,4.17E-06,3.06E-05,Os01g0276900,uncharacterized LOC9271754%2C transcript variant X1
LOC4352487,-1.749198896,0.00574607,0.013777022,-7.40939922,1.06E-84,2.48E-82,Os12g0555000,major allergen Dau c 1
LOC107276117,-4.430524528,0.005749181,0.013783125,0,0,0,Os07g0470300,60S acidic ribosomal protein P2A
LOC4341970,-1.92591104,0.005799316,0.01389104,0,0,0,Os06g0701600,probable cation transporter HKT9
LOC107275473,-2.441083488,0.005871413,0.014047192,-0.900167715,0.311218316,0.47679967,Os07g0609800,uncharacterized LOC107275473
LOC4341202,-1.773684066,0.005880324,0.014064374,-2.249737018,0.014103291,0.042003814,Os06g0530600,VQ motif-containing protein 10
LOC4349263,-5.03894234,0.00598175,0.01428876,0,0,0,Os10g0542100,class II metallothionein-like protein 1A
LOC9266774,-1.061351993,0.00598729,0.014297796,-0.424999221,0.019853058,0.055993029,Os12g0236100,uncharacterized LOC9266774%2C transcript variant X2
LOC4352248,-1.275144627,0.006012685,0.014350015,0,0,0,Os12g0491800,ent-sandaracopimara-8(14)%2C15-diene synthase-like
LOC9271894,-4.025646091,0.006052979,0.014439123,0,0,0,Os10g0174548,wall-associated receptor kinase-like 1
LOC4348690,-3.505979402,0.006058345,0.014449099,0,0,0,Os10g0430200,probable cinnamyl alcohol dehydrogenase 3
LOC4347993,-3.259274701,0.006075302,0.014479639,0,0,0,Os10g0118000,acetylserotonin O-methyltransferase 3-like
LOC4345275,-1.123034464,0.006097399,0.014528048,0,0,0,Os08g0324300,B3 domain-containing protein Os08g0324300-like%2C transcript variant X3
LOC4333647,-2.636146178,0.006248695,0.014847949,-0.50557733,0.020029748,0.05636266,Os03g0663100,uncharacterized LOC4333647%2C transcript variant X2
LOC4347708,-3.622314684,0.006324985,0.014998565,0,0,0,Os09g0537700,ribonuclease 3
LOC4343616,-1.572180772,0.006367376,0.015085898,-2.801647676,0.010083997,0.031657371,Os07g0564500,internal alternative NAD(P)H-ubiquinone oxidoreductase A1%2C mitochondrial
LOC112939907,-1.516374839,0.00646734,0.015285643,0,0,0,0,NAD(P)H-quinone oxidoreductase subunit 2 B%2C chloroplastic-like
LOC9267619,-1.435688852,0.006490617,0.015333234,0.319272316,0.376028237,0.543755174,0,UDP-glucose:2-hydroxyflavanone C-glucosyltransferase-like%2C transcript variant X1
LOC4330063,-1.309913004,0.006522109,0.015397436,0,0,0,Os02g0632800,wall-associated receptor kinase 5%2C transcript variant X1
LOC4342724,-4.840403931,0.006549662,0.015456265,0,0,0,Os07g0214600,alpha-amylase/trypsin inhibitor RA16-like
LOC4352733,-1.166463241,0.006570934,0.015495977,-2.721491835,0.067526671,0.152063251,Os12g0604600,protein ROOT HAIR DEFECTIVE 3 homolog 1-like
LOC107278750,-2.218070816,0.006648054,0.015665736,-1.350692898,0.392643837,0.559707028,Os04g0456900,ETHYLENE INSENSITIVE 3-like 5 protein
LOC4331971,-1.53840096,0.006688168,0.015752659,-1.199557308,0.022660852,0.062169143,Os03g0201000,uncharacterized LOC4331971%2C transcript variant X1
LOC4338619,-3.563588621,0.006710862,0.015800011,1.032270035,0.441971564,0.606827257,Os05g0376800,protein GAST1
LOC4344759,-1.1541964,0.006761444,0.015902229,-1.987814679,3.55E-05,0.00021835,Os08g0168700,7-deoxyloganetin glucosyltransferase%2C transcript variant X1
LOC4346135,-1.370901986,0.006817143,0.016022419,0,0,0,Os08g0531900,MADS-box transcription factor 51-like%2C transcript variant X1
LOC4328706,-5.010666409,0.00689151,0.016178512,-3.896518999,1.51E-13,2.94E-12,Os02g0212500,uncharacterized LOC4328706%2C transcript variant X1
LOC4340796,-2.688179809,0.00689218,0.016178527,-5.976293256,0.004203479,0.015095069,Os06g0293000,uncharacterized LOC4340796
LOC4339455,-2.186461976,0.006951317,0.016292274,-5.929510759,0.004010465,0.014503037,Os05g0537700,uncharacterized LOC4339455
LOC4344335,-1.002140754,0.007006706,0.016400415,0,0,0,Os07g0686300,probable E3 ubiquitin-protein ligase ATL45
LOC4351038,-1.774353916,0.007008891,0.016403588,0,0,0,Os11g0653300,disease resistance protein PIK6-NP-like
LOC4326935,-3.809385038,0.007034086,0.016457744,0,0,0,Os01g0702500,dehydrin Rab25-like
LOC4339221,-6.744071726,0.007059118,0.016509636,-6.257653629,0.002208101,0.008667499,Os05g0499100,19 kDa globulin-like
LOC9271357,-1.020200302,0.007163566,0.016733498,0.461035682,0.411352628,0.577644199,Os08g0465000,homeobox-leucine zipper protein HOX27%2C transcript variant X2
LOC4341287,-3.478275439,0.007199973,0.016807281,0,0,0,Os06g0556200,amino acid permease 3
LOC4350424,-1.560458843,0.007223868,0.016850168,-3.083235661,1.07E-08,1.22E-07,Os11g0441900,LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.2
LOC9267623,-2.185784396,0.007285515,0.016979361,-3.708545017,8.65E-07,7.18E-06,Os12g0150700,purple acid phosphatase 22-like
LOC4352233,-1.773723061,0.007296884,0.016997742,0.237868972,0.447432998,0.611456012,0,disease resistance protein RGA5-like
LOC4325710,-1.487253096,0.007476825,0.017367182,-2.592879836,0.031526492,0.081522271,Os01g0371200,probable glutathione S-transferase GSTF1
LOC4332267,-3.1811013,0.007522834,0.017459099,0,0,0,Os03g0251000,uncharacterized LOC4332267
LOC4343988,-1.150450264,0.007526114,0.01746505,-1.836071772,0.001356334,0.005671501,Os07g0629000,transcription factor MYB30
LOC4347743,-1.519281025,0.00756042,0.017539656,-3.928723498,0.392406583,0.559577677,Os09g0542800,pentatricopeptide repeat-containing protein At1g20300%2C mitochondrial%2C transcript variant X1
LOC4350299,-1.742665692,0.007587486,0.017592416,0,0,0,Os11g0289700,cytochrome P450 87A3-like
LOC4350443,-2.852194294,0.007639107,0.017691938,0,0,0,Os11g0449600,uncharacterized LOC4350443
LOC4343495,-1.10195735,0.007708727,0.017844709,-1.324431141,0.009541174,0.030187693,Os07g0540500,cysteine-rich receptor-like protein kinase 10%2C transcript variant X2
LOC4326761,-1.59147269,0.00774113,0.017907511,-2.27107112,0.014669583,0.043428607,Os01g0247500,receptor-like serine/threonine-protein kinase At1g78530
LOC4338583,-1.791516734,0.007824013,0.018080715,0,0,0,Os05g0370700,probable esterase PIR7A%2C transcript variant X2
LOC9270524,-1.195151297,0.007827407,0.018086845,-2.206193229,0.019876714,0.056052636,Os11g0187100,uncharacterized LOC9270524
LOC4324585,-1.723608578,0.007877093,0.01818788,-2.853152659,0.030390951,0.079042915,Os01g0218500,protein RICE FLOWERING LOCUS T 1-like
LOC107276382,-2.608342152,0.007979339,0.018394381,-1.086017604,0.426246657,0.591798052,Os02g0623932,putative wall-associated receptor kinase-like 16
LOC4328340,-1.145733501,0.00804464,0.018537913,-1.446716196,0.078515778,0.170474076,Os02g0154000,tyrosine-sulfated glycopeptide receptor 1
LOC4336803,-1.319198298,0.008122159,0.018693603,0,0,0,Os04g0587300,probable purine permease 11%2C transcript variant X1
LOC4325939,-3.88258149,0.008140623,0.018727268,0,0,0,Os01g0713600,B3 domain-containing protein LFL1-like%2C transcript variant X1
LOC9271973,-2.291771701,0.008152134,0.018748448,0,0,0,Os03g0258500,beclin-1-like protein
LOC9271372,-1.404537843,0.00835727,0.019164248,-0.521768891,0.545724594,0.696104125,Os02g0144200,uncharacterized LOC9271372
LOC4352535,-4.017746948,0.008367043,0.019181646,0,0,0,Os12g0563600,uncharacterized LOC4352535
LOC4341858,-1.986016975,0.008402914,0.019249022,-1.136620528,0.107083854,0.216180452,Os06g0681200,early nodulin-like protein 1
LOC9270261,-3.715177886,0.00841522,0.019273594,-0.182159817,0.882505093,0.9306963,Os07g0463500,acyl-coenzyme A thioesterase 13
LOC9271453,-1.306195977,0.008472268,0.019389698,0.971684569,0.283738762,0.446551804,Os01g0632000,uncharacterized LOC9271453
LOC4336434,-2.500539566,0.008486014,0.019412056,0,0,0,Os04g0523000,psbQ-like protein 3%2C chloroplastic
LOC4337509,-1.203708999,0.008489019,0.01941608,0,0,0,Os04g0691900,1-phosphatidylinositol-3-phosphate 5-kinase FAB1B
LOC4327255,-1.012605205,0.008489364,0.01941608,0,0,0,Os01g0923800,uncharacterized LOC4327255%2C transcript variant X1
LOC112936884,-1.067536239,0.008586952,0.01961905,-0.401995181,0.518708612,0.673312647,0,uncharacterized LOC112936884
LOC9266484,-1.257751422,0.008645204,0.019742901,-0.25794103,0.85872979,0.916878978,Os11g0593900,uncharacterized LOC9266484
LOC4348111,-2.375027675,0.008646155,0.019743226,-2.847771398,0.063657062,0.145217756,Os10g0148400,protein NRT1/ PTR FAMILY 5.10
LOC4348065,-1.767028662,0.008774528,0.019998943,0,0,0,Os10g0136500,cysteine-rich receptor-like protein kinase 4
LOC107278773,-2.796454455,0.00890253,0.020256637,-3.274491952,0.044135318,0.107807134,Os02g0266900,uncharacterized LOC107278773
LOC4329813,-3.489659255,0.008909674,0.020271003,0,0,0,Os02g0587000,glycine-rich cell wall structural protein
LOC9268228,-1.319172274,0.009051012,0.020561904,0,0,0,Os11g0145700,protein TRAUCO
LOC4336390,-1.802661364,0.009089089,0.020638802,-5.72073285,0.000519382,0.00243925,Os04g0513700,putative beta-glucosidase 17
LOC4345439,-2.23167724,0.009124316,0.020713011,-3.008296151,0.091990763,0.192311296,Os08g0379400,2-methylene-furan-3-one reductase
LOC4348482,-1.841684015,0.009137752,0.020741167,0.232319506,0.755137198,0.852967806,Os10g0373400,uncharacterized LOC4348482
LOC4334093,-1.860218071,0.009200468,0.020862599,-1.871765178,0.16343959,0.297824146,Os03g0746900,uncharacterized LOC4334093
LOC4351420,-1.117036719,0.00928492,0.02102285,-0.564751309,0.65273695,0.779703423,Os12g0132300,calmodulin-like protein 3%2C transcript variant X1
LOC4343720,-3.405881032,0.009353642,0.02116152,0,0,0,Os07g0580700,uncharacterized LOC4343720
LOC4352352,-1.260866333,0.009485436,0.021437085,0,0,0,Os12g0517100,F-box/LRR-repeat protein 14%2C transcript variant X1
LOC107281394,-1.188532889,0.009878496,0.022234815,-2.349618381,1.28E-06,1.03E-05,0,uncharacterized LOC107281394
LOC4334119,-3.151961874,0.00988904,0.022254444,-2.174050316,0.004740839,0.016693551,Os03g0750000,universal stress protein A-like protein%2C transcript variant X3
LOC9270452,-4.8146337,0.010165293,0.022792071,0,0,0,Os11g0636050,uncharacterized LOC9270452%2C transcript variant X5
LOC9268005,-1.931089168,0.010166902,0.022792928,-3.497281605,0.069316264,0.154996012,Os09g0472700,EG45-like domain containing protein
LOC107278243,-4.353370945,0.01017105,0.022796601,-1.686694115,0.03228315,0.083101918,Os03g0812800,probable calcium-binding protein CML21
LOC4333655,-1.392735747,0.010191343,0.022833697,-2.480322878,1.32E-05,8.85E-05,Os03g0664800,uncharacterized N-acetyltransferase p20
LOC4336465,-3.246431239,0.010241392,0.022928994,0,0,0,Os04g0528000,uncharacterized LOC4336465
LOC4349376,-2.286205277,0.010376812,0.02320451,0,0,0,Os10g0560400,transcription factor GHD7-like
LOC4330496,-2.177846945,0.010420733,0.023288356,0,0,0,Os02g0711300,17.8 kDa heat shock protein-like
LOC4330832,-5.67085336,0.010422102,0.023288718,-5.770982262,1.92E-19,5.85E-18,Os02g0765600,alpha-amylase-like
LOC4332137,-4.619973005,0.010439924,0.023320003,0,0,0,Os03g0228200,uncharacterized protein At1g01500%2C transcript variant X2
LOC107278570,-1.549749368,0.010452233,0.02334536,0,0,0,Os04g0665900,uncharacterized LOC107278570
LOC4343823,-1.472044681,0.010466085,0.023367745,-0.815719569,0.070383595,0.156750323,Os07g0601600,3-oxo-Delta(4%2C5)-steroid 5-beta-reductase
LOC4333736,-1.103525981,0.010493788,0.023423171,-3.44005466,0.006703814,0.022392712,Os03g0683800,GDSL esterase/lipase At5g03820
LOC4341543,-2.148236719,0.010535153,0.023506904,0,0,0,Os06g0620200,G-type lectin S-receptor-like serine/threonine-protein kinase LECRK4
LOC107279061,-2.504789451,0.010604194,0.023656628,-0.978663586,0.435063689,0.600047829,0,uncharacterized LOC107279061%2C transcript variant X2
LOC4339665,-1.175793631,0.010609733,0.023666821,-2.921651376,3.83E-11,5.87E-10,Os05g0571200,probable WRKY transcription factor 41
LOC4334593,-1.197444298,0.010710384,0.023867347,2.487373206,0.071207521,0.15822075,Os03g0820400,zinc finger protein ZAT12
LOC112937635,-1.973625955,0.010720669,0.023883724,-0.486804871,0.394803026,0.561877844,Os01g0136501,LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.2
LOC107276149,-1.883940375,0.010751643,0.023948357,-4.041629909,0.005324271,0.018400402,Os06g0605500,uncharacterized LOC107276149
LOC4342382,-1.237058499,0.0107909,0.024024838,-5.636169758,0.000731231,0.003307052,Os07g0143000,uncharacterized oxidoreductase At1g06690%2C chloroplastic
LOC9267913,-1.562564402,0.01089548,0.024224645,-2.885395851,8.44E-06,5.83E-05,Os09g0260200,uncharacterized LOC9267913
LOC4340704,-1.077441498,0.010994362,0.024424355,0,0,0,Os06g0264800,protein CURVATURE THYLAKOID 1A%2C chloroplastic
LOC9267474,-2.398359295,0.011046383,0.024528758,0,0,0,Os03g0405550,uncharacterized LOC9267474
LOC4346743,-1.227033391,0.011132965,0.024698546,2.1615842,0.023387815,0.063799551,Os09g0327000,uncharacterized LOC4346743
LOC107275335,-2.448929426,0.011217351,0.024874453,0,0,0,Os01g0164075,non-classical arabinogalactan protein 30
LOC4330988,-1.568638029,0.011318345,0.02505743,-0.520483057,0.721386013,0.830804442,Os02g0793400,uncharacterized LOC4330988
LOC4324324,-1.198875097,0.011323967,0.025065329,-1.477248582,0.157646548,0.289953317,Os01g0913600,rho GDP-dissociation inhibitor 1
LOC4352644,-2.344526917,0.011381104,0.025189517,-4.137329815,0.000761637,0.003422976,Os12g0582000,cytochrome P450 81D1
LOC4330161,-1.34949444,0.011425772,0.025282111,-4.937519693,4.98E-125,2.46E-122,Os02g0649900,metal-nicotianamine transporter YSL2-like%2C transcript variant X2
LOC4351539,-1.00489343,0.011440938,0.025310471,-0.030736705,0.948918748,0.969278256,Os12g0155000,putative germin-like protein 12-4
LOC4326596,-1.060300048,0.011559457,0.025537946,-4.28519182,0.000225786,0.001151616,Os01g0633400,SNF1-related protein kinase regulatory subunit gamma-1
LOC4352488,-1.690221499,0.011577321,0.025570468,-5.236535735,6.44E-104,2.20E-101,Os12g0555200,major pollen allergen Bet v 1-D/H
LOC112936705,-1.645336592,0.011646308,0.025697259,0,0,0,0,photosystem I assembly protein Ycf3
LOC107279566,-3.889131693,0.011676751,0.025757237,0,0,0,0,putative nuclease HARBI1%2C transcript variant X3
LOC4352921,-2.948592543,0.011714856,0.025834496,0,0,0,Os12g0640000,uncharacterized PE-PGRS family protein PE_PGRS54
LOC4336285,-1.159500315,0.011808768,0.026015742,0,0,0,Os04g0497300,uncharacterized LOC4336285%2C transcript variant X1
LOC4331088,-1.681126598,0.011866067,0.026120759,-2.058556566,0.095802706,0.198396196,Os02g0809500,uncharacterized LOC4331088%2C transcript variant X7
LOC4344204,-1.29897335,0.011969906,0.026332715,-1.121625538,0.243491849,0.399996622,0,momilactone A synthase-like%2C transcript variant X2
LOC107280908,-3.108442488,0.012019314,0.026436643,0,0,0,0,uncharacterized LOC107280908
LOC4350075,-1.037894079,0.01207002,0.026533825,0,0,0,Os11g0215100,dirigent protein 19
LOC4342730,-3.41778662,0.012266655,0.026922446,0,0,0,Os07g0216700,17kDa alpha-amylase/trypsin inhibitor 2-like
LOC9268480,-2.641601885,0.012322409,0.027032658,-3.768709526,0.032330037,0.083193718,Os03g0176300,AP2-like ethylene-responsive transcription factor AIL5
LOC107277309,-1.20580916,0.012345014,0.027079816,0,0,0,Os05g0533200,uncharacterized LOC107277309
LOC4331129,-1.001032108,0.012350759,0.027089982,0,0,0,Os02g0815400,uncharacterized LOC4331129
LOC4348209,-1.212330343,0.012371588,0.027122323,0,0,0,Os10g0181600,uncharacterized LOC4348209
LOC4326740,-1.871208827,0.012478305,0.027327991,0,0,0,Os01g0225600,late embryogenesis abundant protein Lea14-A
LOC4327677,-1.010592101,0.01256103,0.027494361,0.187868272,0.714031311,0.825010345,Os01g0706900,IAA-amino acid hydrolase ILR1-like 2
LOC107275360,-1.210864822,0.012595066,0.027558976,0,0,0,Os08g0410800,probable E3 ubiquitin-protein ligase ATL44
LOC4339736,-1.309911683,0.012615305,0.027600786,-1.779650411,0.0714811,0.158749304,Os05g0582500,serine carboxypeptidase-like 50
LOC4344595,-3.727273261,0.012819309,0.027994426,0,0,0,Os08g0131200,non-specific lipid-transfer protein A
LOC4340134,-1.928138428,0.012895117,0.028139832,-0.609595799,0.69650606,0.8126696,Os06g0148900,uncharacterized LOC4340134
LOC4343718,-3.210509616,0.013014395,0.028372217,0.387259303,0.803207035,0.883173029,Os07g0580200,uncharacterized LOC4343718
LOC4347928,-1.629678216,0.013031604,0.028399589,0,0,0,Os09g0572800,pollen-specific protein C13
LOC4333447,-1.806001636,0.013064173,0.028465483,0,0,0,Os03g0615300,uncharacterized LOC4333447
LOC4349671,-2.098849542,0.013089851,0.028511251,0,0,0,Os11g0130200,uncharacterized LOC4349671
LOC107276047,-1.870423636,0.013395708,0.029107552,0,0,0,Os07g0147550,photosystem II 10 kDa polypeptide%2C chloroplastic
LOC9267852,-2.997964114,0.013574346,0.029451142,0,0,0,Os11g0519500,uncharacterized LOC9267852
LOC107276281,-2.63426011,0.013625163,0.029542772,0,0,0,Os07g0272500,uncharacterized LOC107276281
LOC107277255,-1.379262657,0.013725729,0.029737048,-1.331654151,0.343712274,0.51122257,Os05g0370900,probable esterase PIR7A
LOC4343503,-1.808085534,0.013727122,0.029737428,0,0,0,Os07g0541700,cysteine-rich receptor-like protein kinase 10%2C transcript variant X1
LOC4345992,-4.969256646,0.013830163,0.029942045,-7.01270191,0.000480056,0.002273286,Os08g0508700,ETHYLENE INSENSITIVE 3-like 3 protein%2C transcript variant X3
LOC4349166,-3.110835544,0.013909738,0.030087635,0,0,0,Os10g0525200,cytochrome P450 704C1
LOC4339385,-1.927191821,0.013918668,0.030104285,-0.178194146,0.885961373,0.932843696,Os05g0526700,uncharacterized LOC4339385
LOC107276211,-2.200726116,0.013961165,0.030178476,-6.219584491,0.001562551,0.006408447,Os06g0698200,homeobox-leucine zipper protein HOX18
LOC4332469,-1.958569489,0.014036584,0.030319021,0,0,0,Os03g0284650,cysteine-rich receptor-like protein kinase 25%2C transcript variant X3
LOC9266172,-2.038317641,0.014168491,0.030568773,-2.96436553,7.08E-05,0.000405921,Os02g0592000,2-oxoglutarate-dependent dioxygenase DAO-like
LOC4339696,-2.87601172,0.014194269,0.030621683,0,0,0,Os05g0576700,oleosin 16 kDa-like
LOC4326746,-1.073250858,0.014269048,0.030768632,-0.534782092,0.202388105,0.348786508,Os01g0226700,uncharacterized LOC4326746
LOC4352145,-2.054023242,0.014361006,0.030948564,2.179096606,0.034503936,0.087892531,Os12g0443000,cytochrome P450 94B3
LOC9270444,-2.147150108,0.014560691,0.031326341,-8.961284496,4.87E-09,5.79E-08,Os10g0360800,receptor kinase-like protein Xa21
LOC4338921,-1.445803834,0.014637555,0.031472291,-3.81593388,3.42E-13,6.46E-12,Os05g0440300,histone deacetylase 8
LOC4343171,-3.588241276,0.014797042,0.031784406,0.281932298,0.79733079,0.88002034,Os07g0464200,acetylserotonin O-methyltransferase 3-like%2C transcript variant X2
LOC4351203,-1.403925013,0.014915398,0.032010466,1.723688379,0.034033076,0.086922156,Os11g0703000,osmotin-like protein
LOC4349361,-2.711253084,0.015023606,0.032208712,-5.294108677,3.03E-11,4.69E-10,Os10g0558400,S-norcoclaurine synthase 1
LOC4324083,-1.633242253,0.015158275,0.032437591,-0.28793823,0.715425533,0.826159865,Os01g0156300,uncharacterized LOC4324083
LOC4339655,-3.787174207,0.01532501,0.032745588,0,0,0,Os05g0569500,oil body-associated protein 1A
LOC112936005,-1.543564603,0.015369238,0.032825723,-1.636916807,2.82E-07,2.56E-06,Os03g0757200,UDP-glycosyltransferase 83A1-like
LOC4342681,-1.161817265,0.015511004,0.033090865,0,0,0,0,uncharacterized LOC4342681%2C transcript variant X3
LOC9268646,-2.212034989,0.015535803,0.033140303,0,0,0,Os12g0134700,tryptamine hydroxycinnamoyltransferase 1-like
LOC4340798,-1.03918943,0.015634584,0.033328291,-6.224024265,9.82E-05,0.000544943,Os06g0294000,uncharacterized LOC4340798
LOC112939007,-1.342071421,0.015682757,0.033425143,-0.145876719,0.855725553,0.914871376,Os05g0567000,uncharacterized LOC112939007
LOC4346005,-2.007347479,0.015796467,0.03364693,0,0,0,Os08g0510900,non-structural maintenance of chromosomes element 4 homolog B
LOC4339496,-1.204265833,0.015835834,0.03371313,0.222212469,0.627313903,0.761552364,Os05g0545300,mitogen-activated protein kinase kinase kinase 17
LOC4341067,-2.129303448,0.016089831,0.034194217,-3.911590337,0.000459302,0.002184268,Os06g0486300,MLO protein homolog 1%2C transcript variant X1
LOC4326495,-1.714484755,0.016137858,0.034281362,0,0,0,0,uncharacterized LOC4326495%2C transcript variant X1
LOC4349729,-1.464751715,0.016289401,0.03456718,0,0,0,Os11g0139600,scarecrow-like protein 14
LOC4349062,-4.463692861,0.016339936,0.03465634,0,0,0,Os10g0505900,low-temperature-induced 65 kDa protein
LOC4337797,-1.158087771,0.01654324,0.035026665,0,0,0,Os05g0146100,uncharacterized LOC4337797
LOC4348527,-1.528156808,0.016780895,0.03547753,-1.232181682,2.85E-14,5.90E-13,Os10g0390900,phosphoinositide phosphatase SAC2%2C transcript variant X2
LOC107275525,-1.272741857,0.016808745,0.035530254,0,0,0,Os01g0164000,non-classical arabinogalactan protein 30
LOC4347601,-3.00395133,0.017045591,0.035969593,0,0,0,Os09g0519100,transcription factor MYC2
LOC107279291,-3.364874014,0.017349841,0.036528501,0,0,0,0,cysteine-rich receptor-like protein kinase 37%2C transcript variant X1
LOC4344050,-1.544236227,0.017456817,0.036731551,3.650796981,1.93E-52,2.23E-50,0,peroxidase 2-like
LOC4331913,-2.174848763,0.017464816,0.03673888,0,0,0,Os03g0192300,protein UPSTREAM OF FLC
LOC107276316,-1.915928345,0.017496737,0.036796733,-7.105071675,6.00E-05,0.000350509,Os08g0254300,protein NUCLEAR FUSION DEFECTIVE 4
LOC4350668,-1.670957573,0.017540407,0.03687247,-3.897538599,0.008383274,0.027063355,Os11g0540600,putative UPF0481 protein At3g02645%2C transcript variant X2
LOC4342246,-1.530587076,0.017564567,0.036913721,-1.633005859,0.111117319,0.222284628,Os07g0114000,probable protein phosphatase 2C 61%2C transcript variant X2
LOC4351274,-3.621583161,0.017710547,0.037169307,0,0,0,Os12g0107600,PRA1 family protein B2
LOC4339391,-2.146409364,0.017836414,0.037401621,-3.308595274,0.00058673,0.002716255,Os05g0527200,anthocyanidin 5%2C3-O-glucosyltransferase
LOC4330026,-1.56644613,0.017868396,0.037458714,0,0,0,Os02g0623600,wall-associated receptor kinase 5
LOC9271295,-1.398579026,0.018375567,0.038422928,0.122053378,0.909622802,0.946179646,Os05g0530701,receptor like protein 29
LOC4349514,-1.920988154,0.018482724,0.038627137,0,0,0,Os10g0579400,protein WRKY1%2C transcript variant X2
LOC4339025,-3.670838527,0.018624937,0.038884395,0,0,0,Os05g0462000,uncharacterized LOC4339025
LOC4347175,-3.091000042,0.018763953,0.039144493,-1.191207636,0.298840025,0.463111564,Os09g0441100,flavonoid 3'-monooxygenase
LOC9271794,-4.091116967,0.018918475,0.039402862,0,0,0,0,uncharacterized LOC9271794
LOC9271129,-2.027390599,0.018979058,0.039503211,0,0,0,Os07g0540366,uncharacterized LOC9271129
LOC4328271,-1.551390564,0.018979603,0.039503211,-0.895502108,0.191181692,0.3340165,Os02g0142400,uncharacterized LOC4328271
LOC107277832,-1.082849477,0.019030972,0.039593245,1.442527945,0.129389298,0.24938988,Os01g0798600,uncharacterized LOC107277832
LOC9269701,-1.052257246,0.019224847,0.039955728,0,0,0,0,BTB/POZ and MATH domain-containing protein 2
LOC107280506,-2.619577692,0.01944008,0.040365246,0,0,0,0,photosystem I assembly protein Ycf3
LOC4341457,-4.419974498,0.019545581,0.040570503,-2.266621829,0.004290238,0.015354936,Os06g0602400,DEAD-box ATP-dependent RNA helicase 52A-like%2C transcript variant X2
LOC4337675,-1.696808996,0.019733533,0.040922352,-2.217855065,0.017203845,0.049693787,Os05g0125400,probable serine/threonine-protein kinase PBL26
LOC4349944,-1.817596596,0.019759039,0.040957049,-0.259432516,0.803129331,0.883173029,Os11g0181700,short-chain dehydrogenase TIC 32%2C chloroplastic
LOC107276108,-2.122581902,0.019925733,0.04125433,-0.402093764,0.691727269,0.809085048,Os09g0565150,uncharacterized LOC107276108
